Gene_ID	TCGA-09-1664	TCGA-13-1484	TCGA-13-1488	TCGA-13-1489	TCGA-13-1494	TCGA-13-1495	TCGA-13-1499	TCGA-13-2071	TCGA-23-1123	TCGA-23-1124	TCGA-24-1103	TCGA-24-1104	TCGA-24-1105	TCGA-24-1428	TCGA-24-1430	TCGA-24-1435	TCGA-24-1466	TCGA-24-1467	TCGA-24-1545	TCGA-24-1550	TCGA-24-1551	TCGA-24-1552	TCGA-24-1553	TCGA-24-1555	TCGA-24-1556	TCGA-24-1562	TCGA-24-1563	TCGA-24-1603	TCGA-24-1604	TCGA-24-1923	TCGA-24-2020	TCGA-24-2023	TCGA-24-2024	TCGA-24-2027	TCGA-24-2030	TCGA-24-2260	TCGA-24-2267	TCGA-24-2288	TCGA-24-2289	TCGA-24-2290	TCGA-24-2295	TCGA-25-1316	TCGA-25-1319	TCGA-25-1320	TCGA-25-1321	TCGA-25-1623	TCGA-25-1628	TCGA-25-1630	TCGA-25-1635	TCGA-25-2400	TCGA-25-2404	TCGA-25-2409	TCGA-29-1688	TCGA-29-1693	TCGA-29-1697	TCGA-29-1762	TCGA-29-1763	TCGA-29-1768	TCGA-29-1774	TCGA-29-1775	TCGA-29-1776	TCGA-29-1777	TCGA-29-1785	TCGA-29-2414	TCGA-29-2432	TCGA-30-1866	TCGA-36-1576	TCGA-36-1581	TCGA-36-2529	TCGA-36-2530	TCGA-36-2543	TCGA-42-2588	TCGA-42-2590	TCGA-61-1741	TCGA-61-1900	TCGA-61-1907	TCGA-61-1911	TCGA-61-1914	TCGA-61-1919	TCGA-61-1995	TCGA-61-2008	TCGA-61-2095	TCGA-61-2096	TCGA-61-2612
NUDT9	-0.573	-0.451	-1.091	-1.199	0.14	0.91	-0.364	-1.186	0.656	1.157	-3.082	-0.729	-1.135	-0.301	1.253	-1.352	2.197	0.323	0.835	2.157	-0.85	-0.234	0.224	0.131	0.683	0.571	-2.023	-0.934	0.839	0.819	0.171	0.3	-2.17	0.281	0.109	0.329	1.858	1.315	1.609	-1.185	0.305	-1.672	0.069	-2.782	1.844	0.29	-1.057	0.92	-3.809	1.58	2.123	-1.14	-0.426	-1.792	1.184	1.213	-0.606	-0.476	0.163	0.322	-0.951	0.667	-0.003	0.477	0.645	1.336	-0.885	-0.755	-0.979	0.352	-1.475	-0.649	0.564	-1.149	1.766	0.78	-0.2	-0.283	-0.548	-0.02	-0.937	1.264	-0.146	-0.744
NUFIP2	0.716	-0.256	-2.069	1.706	-2.376	0.604		1.951	-0.308	0.297	0.907	-0.386	1.707	0.062	0.223		-2.66	0.674	0.184	0.165		-0.421	0.435	1.07	0.635		-1.335	0.813	0.789	1.039	1.307	-1.042	1.085	0.348	-1.328	0.176	-1.106	1.106	2.529	-1.609	-1.304	-0.178	1.157	-0.275	0.088	2.041	0.179		1.692	-0.349		-0.323		0.56	-0.038	-0.182	0.401	-0.013	-0.166		0.833		-0.46	-0.412	-0.779	0.626	-1.302	0.64	1.931	-1.252	-0.214	0.981	0.206	-1.021	0.012	-0.18	0.771	0.29		0.707			0.037	-0.557
NUMA1	-0.283	-0.427		-0.851	-0.332			1.328	1.326	-0.812	0.261	-0.124	-0.514	-1.611	-0.209	1.233	-0.652	-2.558	-0.574	1.111	0.534	1.825	-0.194	0.249		-0.977	0.71		0.961	-0.251	-0.965		-0.402	-1.401	-1.223			0.74	-0.333	0.132	1.015	0.277	-2.085	-0.671	-1.688		0.924		0.31	0.013		-0.611	-0.107	0.093		-1.043	-1.019	-0.278	0.852		2.57	-0.248	0.752	0.359	0.218	-1.744	2.299	0.976	1.305	-1.146	0.41	-1.656	-1.058	-1.758	-0.244	-0.877		0.825		2.515	-0.525			
NUMB	0.368	-1.075	0.46	0.327	1.938	0.083	-0.467	0.748	0.883	-2.271	1.881	0.617	0.233	0.34	-0.52	0.007	-0.338	-0.432	-0.587	0.145	2.657	1.419	-0.102	0.695	-0.677	2.76	-1.622	0.445	-1.353	1.727	-0.16	-1.317	-1.137	-0.835	1.503	0.145	-0.318	1.628	-0.498	-1.891	1.97	0.275	-1.098	-2.293	2.567	0.494	-0.481	0.62	0.147	-0.737	0.258	-1.954	2.421	-1.426	-1.695	0.709	-2.63	0.013	1.52	-0.717	0.574	-0.632	1.349	-1.384	-1.187	-0.999	-1.372	-0.007	-0.623	-0.735	-0.666	0.445	-1.413	0.8	-0.276	0.467	-0.929	1.066	-0.286	-1.592	-0.464	-0.295	-2.239	-0.706
NUMBL	0.542	-0.72	0.234	-0.247	0.14	-1.255	1.425	-0.498	1.104	0.811	0.613	-0.522	-0.235	2.102	1.083	-0.531	-0.065	1.011	0.183	0.14	0.547	-0.307	0.921	0.133	0.115	-0.41	0.191	1.071	0.682	0.858	1.128	-0.482	-0.26	1.532	-1.847	0.134	0.379	-0.58	-0.455	-1.24	-1.514	1.186	-0.196	-1.048	1.42	-1.634	-0.575	1.239	-0.94	0.841	-0.186	-0.783	1.79	1.853	-0.572	0.364	2.132	-0.84	-2.016	-1.47	1.777	-0.588	1.147	0.293	-3.149	-0.549	0.322	0.692	0.121	-0.486	-1.596	-0.237	-0.754	-0.03	1.33	0.039	-1.45	-1.618	-0.13	0.972	-1.304	1.818	0.043	1.126
NUP107	-1.073		1.016	-0.582	0.838	0.26		-0.614	-0.609		-1.842	-0.013	2.37		1.052	-0.856	-0.692	-2.179	-1.139		-0.236	-0.969	-0.97			-0.455		0.816	0.972		-0.038	2.086	-1.963	-0.146	0.009			0.009	-2.256	1.627	1.15		-1.773	-1.218	-0.388	2.154	1.065			-1.787	0.177	0.031	-0.198	0.397	-0.869	1.237	0.403	-0.083	0.118		-1.705	-0.755	-0.974		1.702	0.063	-0.582	-0.466	1.159	-0.916	-0.83	0.897	0.182	1.282	1.109		0.353	0.351	-0.169		1.667	-0.425	0.343	0.275
NUP133		0.467		-0.797	0.601	0.552		0.627	2.253	0.93		0.981	-1.471	0.061	0.314	-0.18	-1.722	1.556			0.777	0.749	0.632			-0.741	-1.024		-0.147	-1.225	1.006		-0.655	-0.059	0.368				0.564	0.166	1.084		-0.222	0.093	-0.769		-0.751		-1.42	-1.47		-1.432	-0.448			0.613	2.036	-0.443	0.681			-0.944	0.343	-0.044	-0.532	0.43	-0.551	0.82	-0.112		0.383	0.168	1.586	-0.322		-0.494	-0.39			-1.466	0.386		-1.078	
NUP153	-3.162	-0.072		-1.808	0.457	1.61	-0.22	-0.841	0.391	-0.681	-0.497	-0.803	0.556	0.867	-1.173	0.267	-1.435	0.635	-0.081	0.421	0.223	0.835	-1.698	0.255	0.624	-1.7	-1.312	0.529	0.383	0.289	-0.386	-0.857		1.335	-0.352	1.768	-0.294	-0.003	-0.6	0.092	0.829	-0.374	0.259	3.092	-0.016		-0.841	-2.25	1.262	0.859		-0.723	0.498	-0.04		-0.301	-0.748	0.446	-1.732	1.152	-0.323	0.108	-1.647	0.097	0.056	0.958	-0.267	1.211	-0.035	-0.403	0.428	-1.222	-1.056	-0.825	0.002	0.378	0.993	0.099		-0.553	-0.861		0.455	-0.803
NUP155	-0.378	2	0.452	0.773	-0.135	0.03	-1.076	-0.476	-0.874	-0.228	-1.366	-1.423	-0.234	-1.44	-0.589	1.713	0.12	0.561	-1.408	2.142	0.483	0.853	1.156	0.51	-0.145	0.406	-0.273	0.886	-0.69	1.114	-0.043	-0.672	-0.327	0.367	-0.993	1.556	-0.612	-0.966	-1.905	0.614	-0.351	-0.845	1.343	0.855	0.897	1.902	-0.059	-0.669	0.146	-0.35	1.293	-1.257	-0.302	0.575	-0.176	-0.897	-0.404	0.23	-0.876	-0.239	-0.414	-0.563	-0.029	2.041	-0.466	2.024	0.602	0.597	1.141	0.464	0.028	0.68	-0.785	-0.344	0.732	-2.174	-1.313	1.093	0.825	0.982	-1.17	0.003	0.714	0.639
NUP160	0.321	-1.155	0.152	0.726	-1.281	0.262	0.873	-0.719	0.235	-0.412	0.596	-2.114	-1.078	-1.31	-0.853	-0.816	0.326	-1.244	-0.236	-1.093	-1.091	-2.057	1.844	2.412	-0.192	-0.904	1.41	0.321	1.711	0.431	-0.563	-0.068	-0.755	-0.713	-1.682	0.745	0.065	-1.165	2.076	1.85	-1.063	-0.465	-0.886	0.111	1.435	-1.425	-2.129	1.637	0.753	0.236	-0.036	-0.407	-1.509	-0.748	1.52	1.367	-0.33	-0.227	1.055	-0.355	0.552	0.639	0.615	1.904	-0.674	-1.231	-0.168	-0.038	0.32	-0.353	-2.346	1.526	0.379	0.266	-1.184	-0.706	-0.972	0.169	1.162	0.608	-0.374	-0.172	-2.54	-0.338
NUP188	-0.564	-1.686	0.053	1.447	-0.356	1.721	-0.372	0.128	0.373	-1.773	-1.027	-1.936	0.771	0.633	1.94	-0.075	0.232	1.378	1.156	-2.263	0.688	2.078	-0.671	-0.005	0.664	0.569	0.164	-1.861	-0.749	-0.877	-0.501	1.572	-1.956	1.511	-2.451	-0.263	0.072	-0.357	0.313	0.579	-0.727	-0.471	-1.363	-1.289	-2.579	-0.545	-1.605	0.323	-0.48	-0.052	-1.17	-1.145	-0.364	0.726	-0.377	-0.378	0.067	-1.033	-0.658	-1.878	-0.511	1.085	-0.65	-0.306	-0.913	0.05	-0.527	-1.613	0.875	0.819	0.456	-0.08	-1.227	1.122	1.332	0.052	-0.738	1.878	0.931	-1.234	1.24	1.029	-0.014	0.662
NUP205	0.484	-0.999	-0.275	0.853	-0.018	1.166	-0.147	1.04	1.134	0.026	1.03	-1.499	-0.39	-0.098	-0.915	-0.004	-0.608	-0.233	-1.336	1.345	-0.312	0.877	0.238	0.088	-2.235	-1.711	-0.096	-0.033	-0.079	-1.01	2.264	-0.825	0.548	-0.245	0.144	0.362	0.23	-0.321	-1.859	0.854	-0.197	1.287	-0.989	1.308	0.364	-0.204	1.357	-0.339	0.616	0.814	1.099	-1.371	0.887	0.176	1.458	1.228	0.37	-1.275	1.514	0.388	0.94	-1.786	-0.528	-0.377	-0.011	2.181	-0.232	0.49	-1.013	0.707	1.04	0.238	-1.269	1.071	-0.501	0.606	0.606	-0.241	-0.274	0.658	0.091	-0.212	0.618	1.099
NUP210	0.986	0.45	0.652	1.414	-0.204	-0.082	-0.94	-0.352	0.425	1.236	-0.437	-0.202	-0.131	-0.42	-0.714	0.18	-0.093	0.995	-1.073	1.342	-1.065	0.969	-0.214	0.186	-1.612	0.749	1.465	-0.539	-0.326	1.47	1.883	1.087	-0.034	-0.11	-0.109	0.228	0.074	1.393	-1.303	0.994	1.42	0.321	0.228	-0.606	0.312	-0.7	0.076	0.463	0.439	0.174	0.92	-0.625	0.962	0.44	1.854	0.695	0.096	2.441	1.191	-1.086	-0.276	0.564	2.038	1.475	-0.391	-0.365	-1.154	0.094	0.62	-0.202	0.783	-0.248	0.978	2.689	2.593	0.483	-2.425	-4.177	-1.21	0.216	-0.196	0.349	0.123	-1.391
NUP214	1.047	1.278	-0.752	0.132	-0.725	1.111	0.511	-0.906	0.797	-1.023	-1.551	0.513	1.8	1.604	-1.771	-0.9	-1.271	0.203	-0.176	-0.281	0.063	0.258	-0.533	1.106	-0.475	0.269	-0.788	-1.73	0.55	0.766	0.245	0.22	-0.52	1.393	0.482	-0.19	-1.383	-0.987	-2.191	-0.129	-1.003	-0.094	-0.842	-0.587	2.211	0	-0.758	-0.521	-0.394	-0.429	0.101	-0.131	-0.829	2.024	-0.135	1.027	1.129	0.013	0.406	0.78	0.521	-0.137	-0.298	0.36	2.413	-1.043	0.297	1.579	-0.39	-2.126	-1.956	-1.16	2.434	1.74	-1.136	0.999	0.348	-0.058	-1.762	-1.035	-0.535	0.502	-0.208	-1.464
NUP35	-0.072	0.597	0.361	0.818	0.094	-0.257	0.31	0.577	0.782	-0.148	-0.548	-0.262	-0.731	1.693	1.764	-0.327	-1.594	-0.504	-0.186	-1.624	-1.142	0.577	0.064	0.971	-0.844	0.59	-0.902	2.1	0.177	0.124	-0.224	0.06	0.574	-0.568	-0.282	-1.683	0.017	-0.784	-1.521	-0.432	-0.84	0.865	-0.848	-1.586	1.934	1.192	0.191	0.157	-1.111	-1.179	0.373	-1.266	-0.324	-1.597	-1.241	-0.096	-0.122	0.36	0.128	0.623	-0.014	0.249	-0.319	-0.282	-1.401	0.783	-0.284	0.546	-0.473	-1.343	1.602	-0.999	-2.194	-0.841	0.702	1.196	0.512	0.655	0.058	1.483	-0.091	0.001	0.848	-1.207
NUP37	1.23	0.607	2.271	-1.227	0.438	0.483	0.031	-0.391	0.155	-0.275	-1.398	-0.588	-1.142	1.681	-0.497	1.069	-0.394	-0.958	-0.56	0.343	-1.021	1.206	0.267	0.177	0.426	-0.543	-0.889	0.978	-0.03	0.794	-0.604	0.161	0.473	-1.154	0.291	-0.286	0.089	1.034	0.072	0.565	-1.997	1.118	0.375	-1.269	-0.582	-0.142	-0.239	0.429	-0.485	-0.109	-0.258	1.432	1.534	0.884	0.388	0.17	-0.392	0.032	-0.685	1.471	0.606	-0.415	-0.474	0.23	1.24	0.16	-0.115	-0.152	1.888	-1.003	-1.083	-0.76	0.229	1.603	0.566	0.5	-0.177	0.974	-0.431	-1.323	1.127	-1.634	0.282	-2.206
NUP43	-0.336	0.334	0.139	0.448	1.003	0.327		-0.057	-0.596	0.627	-0.13	-0.007	1.153	0.357	0.138	1.22	-1.019	-0.603	0.663	-0.286	-0.267	1.36	-1.962	0.646	-1.678	0.65	0.668		-1.129	0.481	-1.046		-1.501	0.627	-0.347	0.93	-2.123	1.22	-1.086	0.059	0.409	-0.551	-0.413	0.552	1.848	0.496	-1.837		0.882	-1.13		0.863	-0.533	0.767	-0.694	0.646	-2.345	-0.702	-1.035		0.243	1.339	2.259	-1.555	0.131	1.825	0.147	1.922	0.348	1.21	-0.115	-0.953	0.245	-1.411	0.266	1.807	-0.199	2.214		-0.58	-0.203		0.332	
NUP50	0.633	0.544		1.062	1.302	-1.74	0.157	-0.789	-0.509	0.527	0.933	-0.611	-0.327			-1.901		-0.223	-0.549	0.054	0.565		-2.176	0.567		0.179		0.345	-1.56		0.005	0.005	-2.271		1.086			0.235	-2.148	0.418		-0.67	0.297	2.083	2.099		-0.247	-0.499	-0.067	0.241	1.666	-1.243	1.609	0.96		0.095	-1.645		0.97	-0.046	0.403	-0.59	0.809	-1.042	-0.424	-1.366	-1.142	0.271	0.662	0.042	2.65	-0.608	-0.886	-2.552	-0.977	0.966	-0.718	1.115	0.045	0.363	-1.339	-1.3	-1.413	0.798
NUP54	0.129	-0.166	-1.276	-1.036	0.156	-0.048	-0.443	-0.665	1.986	1.049	-0.864	0.191	-0.758	-1.415	0.187	-0.282	1.475	1.249	-2.303	-1.291	-1.023	-0.113	-1.029	-0.432	0.789	0.066	-0.372	-1.537	-0.753	2.25	0.095	1.577	-0.823	-0.069	-1.019	1.585	-0.746	-1.395	-0.873	0.379	-0.38	0.023	-0.855	0.077	0.632	2.391	2.217	1.352	-1.188	-1.02	-0.833	-0.861	0.725	0.443	-2.079	0.712	-0.047	-1.316	0.297	1.467	0.152	-1.912	-0.808	-0.685	-0.502	0.4	-1.163	-1.055	1.216	-0.385	-0.936	-1.178	-0.072	2.831	0.15	0.757	-2.438	-1.598	0.738	-0.071	2.391	-1.18	-1.458	-1.33
NUP58	-0.498	0.002	-2.032	-0.353	-0.435	0.219	1.725	-1.822	0	1.283	-0.596	0.76	-1.281	1.064	0.21	0.216	0.824	-0.022	-0.366	-1.365	0.534	0.611	-0.364	1.061	-0.263	-0.893	-0.809	-1.201	0.836	1.375	-0.749	-1.075	-1.195	-2.969	-0.17	1.301	-0.889	-0.066	-0.256	1.331	-0.308	0.448	0.001	0.748	-0.644	1.917	1.665	-2.095	0.109	0.016	1.016	-0.033	-0.981	0.211	1.186	0.445	0.663	-0.683	-1.045	-1.236	0.21	1.037	-0.906	-0.599	-0.795	-0.472	-0.196	0.823	1.279	-0.575	0.133	0.664	-2.228	-0.154	-0.6	1.541	-1.414	1.566	0.208	0.504	0.154	-0.261	-2.628	0.259
NUP62	-0.468	1.675	0.543	-0.091	0.558	-0.801	-1.098	-1.372	-0.537	0.134	1.011	0.359	-0.147	0.539	0.971	-0.195	1.236	0.299	0.207	-0.391	-0.752	0.18	-0.781	-1.867		0.29	-0.761		-0.353	0.089	2.243		-0.12	-0.03	-0.226			-0.456	0.278	-0.86	1.309	2.603	1.017	-0.08	-0.839	0.552	0.58	0.754	0.767	-1.079	1.629	-1.086	3.053	-0.268	0.848	-0.462	0.164	-2.387	0.565	-0.467	1.047	-0.216	-0.508	1.138	-0.377	-0.398	1.422	1.211	1.051	2.728	-1.389	-0.164	-2.102	-0.748	-1.407	-1.982	1.237	0.308	1.205	-0.463	0.621	0.309	1.304	
NUP85		-0.082			-1.58		1.442	0.849	0.418	0.747	-0.405	-0.116		1.903	-0.609	0.964	-0.755	-0.211	0.721	0.232		-0.504	0.005	-0.185	-1.601	0.672	1.007	-0.426	-0.352	-0.758	0.732	-0.413	-0.155	-0.28	0.416	-0.135	-1.9	0.021			0.611	-1.739		-1.977	-1.687		-1.905	1.562	-0.323	1.938	-1.527	1.42	-0.746	-2.866		1.707	-0.809	1.27	1.238	-1.23	1.379			-0.455	-0.228	-0.536	0.116	2.049	1.403	-0.13	0.33		1.657	-0.986		-0.524			-2.176	-0.159		-2.531		1.512
NUP88	-0.219	0.464	-1.56	1.629	0.671	-0.495	-0.696	-0.703	1.287	1.904	1.354	-0.151	-0.33	-0.895	-0.008	-0.469	-0.325	-1.02	0.904	-0.729		1.353	1.28	1.142	1.223	-0.838	0.261	0.641	-0.803	-2.436	-0.777	-1.738	2.491	-1.911	1.489	-1.133	0.287	0.051	-1.566	0.915	-0.816	0.803	1.221	-2.301	0.127	0.853	-0.666	0.64	-0.304	0.915	0.124	0.343	0.899	0.045	-1.182	-1.227	0.648	0.167	2.705	-0.564	1.68		-1.237	-0.977	0.262	0.877	-0.75	0.104	0.772	-1.517	1.405	-0.573	0.4	0.03	-1.048	-1.534	0.019	-0.981	1.269	-1.459		-0.461	0.699	-0.347
NUP93	-0.036	1.402	0.162	1.116	-0.481	0.586	0.506	0.327	-0.066	0.953	-1.541	0.338	0.224	0.468	0.446	-0.022	0.973	0.873	0.792	-0.981	-0.473	-1.671	-0.558	-0.456	-0.57	-1.914	-0.335	0.111	-0.862	-0.196	2.41	-0.045	1.022	-0.755	-1.009	-0.281	0.359	-1.588	-0.72	0.307	-2.13	0.447	0.798	-0.57	0.668	-0.46	0.798	-0.23	0.142	1.085	-1.627	0.946	1.183	-0.979	-0.423	0.484	-1.12	-0.755	-0.596	0.903	1.279	0.817	0.923	-0.078	-0.861	-0.37	1.836	0.055	0.925	1.633	-0.865	0.896	0.695	-1.074	0.739	-0.73	-0.075	-0.166	1.008	0.826	-0.278	0.519	-0.148	-1.069
NUP98	0.354		-1.937		1.163		1.969	1.268			0.59	-0.688	3.33			-0.997			-0.149	1.936				-1.536		-0.578		-0.023										-0.995	0.673	-2.065		0.323	-0.394			0.113	-0.244	-0.881					1.449	-0.776	0.642	-0.224				1.678	0.041		0.147							0.209	0.677	0.435			1.544			0.38						1.978
NUPL2						-0.817		-0.356			0.596		-1.415	3.157				0.054		-1.837				0.002			-1.522	-1.006		-0.071		-0.377	1.385	-1.911						2.368	1.157	0.006			-0.859											-0.8	-0.285	-1.736			-0.192		1.194		-1.911					0.625	0.253			2.083			1.611						-1.3	1.2
NUSAP1								-0.964							2.549		0.458			0.383		-0.399		0.29							-1.868			-0.814	-1.309						-1.733	0.106														0.831		-2.041	-0.188								-0.605				-0.396													
NUTF2	1.204	-1.656	0.542	0.77		-0.277	0.099	1.127	-1.639	0.463	0.948		0.675		0.296	0.115	0.25	0.164	1.051	-0.321		-0.119	0.676	0.163	0.733	0.495		-0.005	0.08		-0.231	-0.495	2.042	0.473	-0.36	-1.693	0.335	0.164	0.016	0.164	1.565	-1.211	1.196	0.669	-0.405	0.248		0.429	-1.128	-1.111	-0.031	-0.117	0.042	-0.218	0.478	-0.397	0.346	-0.925	-1.491	0.512	1.825		0.643	0.967	-1.329	2.987	-0.303	1.503	1.61	-1.541	0.439	-0.665	0.588	0.432	-0.744	0.549	1.367	-1.458	-0.415	-2.181		2.061	-0.807	0.338
NVL	-1.762	0.465	-2.853	-0.481	0.694	0.602	-0.43	1.105	1.293	0.483	0.042	0.218	-0.844	-0.175	-0.696	-0.93	0.785	-0.926	1.202	-0.213	-1.009	0.08	-0.09	-1.415	-2.082	-0.111	0.528	0.837	0.386	1.034	1.588	1.012	-1.38	-0.502	-0.282	0.44	-1.138	-0.727	-1.739	2.122	0.154	1.208	-0.035	0.946	-1.039	0.36	-0.824	1.904	0.225	0.385	-0.831	-0.249	0.713	-0.362	1.273	0.064	0.845	0.664	-0.034	0.213	-0.223	0.743	-1.179	0.579	-0.441	2.15	-0.401	-2.5	-0.96	0.713	-0.529	-2.079	-0.391	0.216	-0.101	1.153	-0.824	-1.154	0.886	-0.255	-0.675	1.733	-0.53	-0.476
NXF1	0.716	0.843	-1.782	0.767	0.605	0.266	-1.12	1.41	2.644	-0.529	-1.492	-1.803	-1.629	0.695	-1.21	1.009	0.792	1.035	0.534	-0.18	0.73	2.028	-0.089	0.12	-0.193	0.362	1.589	-1.793	0.52	-0.629	0.011	2.371	0.262	0.462	0.689	1.646	0.502	0.388	0.97	1.626	-2.549	-1.201	0.751	-1.026	-0.89	1.003	0.261	-0.263	0.242	0.567	1.261	1.353	-0.425	0.99	-0.971	0.013	-0.973	-1.098	-0.268	-0.344	0.216	-0.605	0.067	0.427	-1.866	0.91	0.09	-2.528	-1.824	0.173	0.182	0.953	0.244	0.437	0.831	-0.054	0.39	0.471	-0.28	-1.215	0.919	0.806	-1.023	1.423
NXN	1.118		2.716	0.6	-1.709	0.61	-1.394		0.16	0.597	-0.516	-2.095	-1.18	-0.334	1.141		-1.046	0.298	-0.206	1.171	1.859	-0.697	-0.031	-0.011			-0.951		-0.264	0.622	1.121		-0.836		-0.678			0.113	0.173	-0.049		1.555	1.766	0.191	-0.496	-2.091	1.816	0.395	1.443		0.592			-0.092	0.023		-0.644		0.784	1.771	2.214	0.054	-0.42		0.068		-0.71	0.901	-0.008	0.48		1.664	-0.292	1.28	0.262	0.878	-1.083	0.597	0.154		0.505	0.488	0.638	
NXT1	0.59	0.063	0.327	1.669	0.658	-0.315	0.448	-2.192	2.662	-0.787	0.758	0.872	0.422	0.18	-1.025	1.378	-0.612	-0.913	-0.612	-0.083	-2.005	-0.664	-0.09	-0.212	-0.504	-1.819	-0.639	0.564	-0.403	0.165	0.096	1.122	-1.277	-1.285	-0.367	-1.801	-0.349	-0.724	2.665	1.87	0.356	1.327	-0.107	-0.995	-0.85	0.825	-0.883	-1.162	0.875	-1.092	0.397	0.938	-1.539	1.139	-0.15	-0.202	0.791	-2.747	2.189	-0.317	0.167	0.079	-0.249	-0.366	0.088	-1.013	-0.037	0.043	-0.197	2.361	0.152	-1.645	-2.881	-2.391	-1.256	-0.411	0.236	-0.071	-0.548	0.165	0.234	1.406	0.71	-1.297
NXT2	-0.785	0.087	0.362	-0.814	1.158	-0.312		-0.433	-3.31	-1.725	0.251	1.225	1.869	-1.805	-1.102		1.263		-0.117	-0.319	1.89	-0.597	-1.681	-1.75	1.302		0.029	-0.996	-0.335	1.364	1.584	1.884	0.265	-0.84	0.408	1.371	0.11	1.591	0.098	0.144	-1.068	-2.003	-0.777	0.657		-1.051	-0.577		0.057	-0.294	-0.122	1.195		-0.543	-0.673	-0.005	0.157	-0.813	-0.729		1.143	1.365	0.767	1.098		-1.484	-0.888	0.174	-2.394	2.871	0.066	1.139	1.607	0.99	1.763	-0.288	0.407	0.469	-0.644	-0.145	0.394	0.545	2.106	-1.434
OARD1				-0.041		0.45		-1.365			-0.093				1.559		0.568		-0.552	0.036	-0.374	0.014		-0.898	-0.283			0.472	-0.98		-0.078	-0.89	1.15		-2.71	1.053	-0.831	0.438	-1.345			-1.049	1.238	1.855						-0.748		-0.951		1.023		-0.571	-2.202		-0.5		1.303	2.559				0.16	1.104		-0.806	-0.223	0.999	-0.584	-0.586	-0.824			0.64				-0.162		-0.239	0.72
OAS1			-0.333					-0.469	-0.722									0.811	-0.515	-0.243			1.557	1.402														-0.959				-2.336			-0.06	-0.142					0.641			-0.712	-0.49	0.359									0.633			1.669			-0.816								0.032			0.309		
OAS2	0.637	-1.538	0.011	-0.169	-0.192	-0.52		-2.188	0.903	0.819		-0.453	-0.719	0.166	-0.766	0.124	1.184	1.279	-1.526	-0.675		0.835	-0.328	0.607	0.661	1.373	0.354	1.296	-0.338	-0.971	-2.391	1.815	-0.994	-0.879	1.801	0.111	0.457	-2.124	0.305	-0.357	-1.546	0.328	1.949	0.438	1.309	-0.994	-1.03		-0.975	-1.101	0.085	-0.758	1.941	0.798	-0.466	-0.528	-0.194	2.924	-0.187				0.169	-2.185	-1.187	-1.559	-0.376	1.118	-0.929		1.384	0.818	-0.809	-1.634	0.26	-0.405	0.411	1.306	0.518	-0.415		0.255	-0.083	-0.377
OAS3	-2.399	-2.532	-0.531	-1.671	-0.522	0.582	-0.63	-1.501	-1.749	1.154	-1.016	0.412	0.04	1.159	1.776	0.081	-1.594	0.963	-0.984	0.203	0.358	0.221	1.667	-0.772	-1.189	1.258	0.422	1.435	-0.169	0.128	-0.58	0.066	-0.133	-1.201	-0.937	-0.525	-0.46	0.394	-1.174	0.313	-2.103	0.196	-0.458	-0.43	-0.748	2.498	-1.137	1.796	-1.966	1.214	-2.147	1.176	0.276	0.572	-1.876	-0.93	-0.601	1.175	-1.056	-1.296	0.567	0.404	0.653	-1.042	0.698	1.337	0.636	0.956	-0.952	-0.769	-0.439	0.497	-0.228	-0.346	-0.741	-3.251	1.009	1.092	-0.872	0.289	0.305	1.011	0.98	0.986
OASL	-1.213		2.316		-0.202	-2.542	-0.401	-0.071		-1.613	-0.652	-2.208			1.468	0.121	0.139	-0.462	1.14			-0.693				-1.165		-1.05				-1.056		-2.728	-0.649			0.923	-1.381		-0.893		-0.942		-1.199	0.054	0.369	-1.812	-0.687				0.838	-1.213	-0.896	-2.75		-0.405	0.258	-1.116	0.562				0.96		2.682		-0.646	-0.287	-0.899	-0.073	-1.233		-0.919	-0.535	-1.685	1.145					-2.383	0.376
OAT	0.761			0.309				-1.375		-1.715			1.048		-0.567		-0.895	-0.051				0.074						-0.958				-0.276								-0.279					-0.45				-1.552		0.951					2.096							0.38		-1.589				0.393		0.424		-0.519		0.293	0.596		0.953	-0.351			-0.356		1.014
OBSL1	-1.102	-0.95	-0.123	0.531	1.473	-0.481	0.28	-0.409	-1.298	1.051	-1.054	0.483	-1.677	1.348	0.156	-1.556	-0.376	-1.159	-0.684	-1.013	-2.368	0.286	-0.905	-1.126	-0.098	0.218	-1.7	-0.279	-0.201	-0.836	-0.89	1.3	0.674	-0.051	0.714	0.139	-0.509	0.636	2.203	0.789	-1.735	-1.19	-0.519	-0.58	0.651	0.115	-0.585	0.096	1.126	0.259	-2.146	1.248	-0.438	0.151	-1.868	-0.282	1.107	-1.204	1.274	-1.952	-0.343	0.591	0.217	-0.93	-0.976	1.122	-0.093	-1.112	0.801	0.182	0.676	-0.816	1.357	-0.222	1.362	2.137	-0.587	1.902	-0.266	-0.734	1.383	0.129	0.673	2.163
